----  ----------  ---------  ----------  ---------  --------  ---------  --------  --------  --------  ---------  -----------  --------
      node_0      node_1     node_2      node_3     node_4    node_5     node_6    node_7    node_8    node_9     node_fake    P(t)
----  ----------  ---------  ----------  ---------  --------  ---------  --------  --------  --------  ---------  -----------  --------
t=83  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=84  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=85  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=86  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=87  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=88  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=89  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=90  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=91  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=92  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=93  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=94  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=95  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=96  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=97  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=98  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=99  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
----  ----------  ---------  ----------  ---------  --------  ---------  --------  --------  --------  ---------  -----------  --------
