----  ---------  -----------  -----------  ----------  ----------  -----------  ---------  ----------  ----------  ----------  -----------  ---------
      node_0     node_1       node_2       node_3      node_4      node_5       node_6     node_7      node_8      node_9      node_fake    P(t)
----  ---------  -----------  -----------  ----------  ----------  -----------  ---------  ----------  ----------  ----------  -----------  ---------
t=68  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=69  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=70  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=71  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=72  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=73  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=74  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=75  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=76  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=77  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=78  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=79  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
