----  -----------  ---------  --------  -----------  -----------  ---------  -----------  -----------  -----------  --------  -----------  --------
      node_0       node_1     node_2    node_3       node_4       node_5     node_6       node_7       node_8       node_9    node_fake    P(t)
----  -----------  ---------  --------  -----------  -----------  ---------  -----------  -----------  -----------  --------  -----------  --------
t=66  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=67  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=68  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=69  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=70  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=71  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=72  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=73  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=74  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=75  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=76  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=77  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=78  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=79  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=80  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=81  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=82  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=83  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=84  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=85  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=86  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=87  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=88  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
