----  ----------  ---------  ----------  --------  --------  ---------  ---------  --------  --------  ---------  -----------  --------
      node_0      node_1     node_2      node_3    node_4    node_5     node_6     node_7    node_8    node_9     node_fake    P(t)
----  ----------  ---------  ----------  --------  --------  ---------  ---------  --------  --------  ---------  -----------  --------
t=89  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=90  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=91  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=92  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=93  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=94  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=95  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=96  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=97  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=98  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=99  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
----  ----------  ---------  ----------  --------  --------  ---------  ---------  --------  --------  ---------  -----------  --------
